gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
Q0020	2846.323	-0.6744629	0.41723099	0.0639953	0.1190438
Q0045	4965.675	2.296439	1.23969345	0.0003565016	0.001379378
Q0050	97393.6	-1.486858	0.27263186	6.002426e-09	8.074787e-08
Q0055	9176.751	-11.52139	0.36569168	3.845847e-219	2.343659e-215
Q0060	1104.39	-0.2974615	0.28415824	0.2665799	0.3822442
Q0065	3.97817	-0.2568308	0.55642003	0.5490766	0.6602354
Q0070	3004.823	8.290317	0.39623602	5.151415e-100	1.569636e-96
Q0075	851.7303	-9.092206	0.48959656	6.096362e-80	9.287808e-77
Q0080	0.2014902	0.007076619	1.06595864	0.9639238	NA
Q0085	107.7831	-1.191215	0.42433066	0.001162759	0.003839047
Q0105	4.0624	-1.294093	0.73717093	0.008190252	0.02081376
Q0110	237.5755	-6.637403	0.36807341	4.003087e-75	4.878963e-72
Q0115	2207.412	0.2673393	0.49019224	0.5078203	0.6215419
Q0120	1939.728	-0.6913831	0.25898272	0.00500821	0.01356446
Q0130	21.20791	0.3244185	0.71910373	NA	NA
Q0140	23.95531	-0.1899025	0.38713311	0.5821993	0.6893185
Q0158	122130.6	-1.72863	0.30446781	6.504282e-10	1.104097e-08
Q0160	6.302405	-1.044111	0.52215062	0.01272408	0.03024202
Q0250	47.40476	1.396481	0.35829971	1.423866e-05	7.967895e-05
Q0255	1065.918	3.165602	0.45008809	5.570116e-15	2.672779e-13
Q0275	14.37856	-3.260168	0.61906634	2.76451e-10	5.074374e-09
Q0285	6.610505	0.2079482	0.48945516	0.6061297	0.7097914
tA(UGC)Q	0.05580019	-0.03443705	1.06908784	0.8261233	NA
tC(GCA)Q	0.5480629	0	1.03674648	1	NA
tD(GUC)Q	1.021843	-0.02429056	0.75218039	0.9543993	NA
tE(UUC)Q	1.161039	-0.7943195	0.96893006	0.06667308	NA
tF(GAA)Q	0.06227201	0	1.06582173	1	NA
tG(UCC)Q	1.055226	-0.1706194	0.94154108	0.57602	NA
tH(GUG)Q	0.2119417	0	1.06582173	1	NA
tI(GAU)Q	0.2171207	0	1.06582173	1	NA
tK(UUU)Q	0.1307729	0	1.06582173	1	NA
tL(UAA)Q	0.1292058	-0.03443705	1.06908784	0.8261233	NA
tM(CAU)Q1	1.042296	-0.910131	0.98199883	0.04438478	NA
tM(CAU)Q2	0.3276898	0.007076619	1.06595864	0.9639238	NA
tN(GUU)Q	0.1573409	0	1.06582173	1	NA
tP(UGG)Q	0.2139102	0.04886229	1.07100243	0.7571251	NA
tQ(UUG)Q	0.8737209	0.1249481	0.89590432	0.7136755	NA
tR(ACG)Q2	0.1609926	-0.0136499	1.06633157	0.9304943	NA
tR(UCU)Q1	0.0794596	-0.03443705	1.06908784	0.8261233	NA
tS(GCU)Q1	0.1058768	0	1.06582173	1	NA
tS(UGA)Q2	0.1935475	0	1.06582173	1	NA
tT(UAG)Q2	7.791433	0.5255376	0.58754386	0.2309871	0.3408318
tT(UGU)Q1	0.2787629	0.0175047	0.97497346	0.9443151	NA
tV(UAC)Q	0.3307121	0.1566672	0.98599187	0.5450655	NA
tW(UCA)Q	0.1226141	0	1.06582173	1	NA
tY(GUA)Q	1.067754	-0.5010222	0.80181006	0.2479346	NA
YAL001C	342.4394	0.1873258	0.14569551	0.191797	0.2939542
YAL002W	165.9709	0.5682634	0.13656559	2.470924e-05	0.0001294738
YAL003W	339.878	0.6236598	0.32169871	0.03606409	0.07379938
YAL005C	3393.312	0.7507853	0.37175929	0.02462782	0.05297633
YAL007C	89.64924	0.5681949	0.24136446	0.01400267	0.03278228
YAL008W	69.48535	-0.7153563	0.32766543	0.01783512	0.04044928
YAL009W	8.411219	0.6053752	0.57348623	0.1647837	0.2601533
YAL010C	17.28728	-1.144665	0.42328672	0.001781937	0.005548863
YAL011W	282.2382	1.595787	0.21125201	3.673856e-15	1.820202e-13
YAL012W	169.7128	0.4900476	0.44280713	0.1965406	0.2996543
YAL013W	325.0917	0.4124408	0.21603619	0.04828157	0.0942736
YAL014C	22.49004	-0.281163	0.36292652	0.3919603	0.5136787
YAL015C	31.47649	0.2283682	0.26989005	0.3721157	0.4940464
YAL016W	194.7224	-0.3856874	0.30531126	0.1757634	0.2744304
YAL017W	129.0201	-0.3147228	0.22760897	0.1510967	0.2417389
YAL018C	2.240482	0.1856608	0.63126311	0.6745824	0.7687137
YAL019W	325.8194	1.384266	0.20859463	5.782751e-12	1.594574e-10
YAL020C	50.80176	0.5467537	0.36959644	0.1005403	0.1725408
YAL021C	21.4639	-0.7230724	0.36492733	0.02813905	0.05943826
YAL022C	39.69683	-0.2958379	0.28248434	0.266722	0.382358
YAL023C	84.96818	0.4270351	0.30330258	0.1316354	0.2147754
YAL024C	153.5868	1.299362	0.23161293	4.522678e-09	6.278178e-08
YAL025C	154.6554	1.26764	0.34511533	5.133229e-05	0.0002474834
YAL026C	95.26013	0.1737984	0.20195785	0.3755307	0.4977416
YAL027W	19.41847	0.1661325	0.40119739	0.6392323	0.7393209
YAL028W	51.21559	-0.8593638	0.25048148	0.000320938	0.00126099
YAL029C	182.0925	0.5906171	0.18342771	0.0009678664	0.003285893
YAL030W	47.07856	1.026072	0.26989838	5.730762e-05	0.0002736933
YAL031C	72.69033	0.485358	0.27966516	0.06592516	0.1220006
YAL032C	16.1824	-0.1102823	0.36008757	0.7355051	0.816424
YAL033W	55.26044	0.5008445	0.29292679	0.06838634	0.1255638
YAL034C	82.95345	-0.3722995	0.48660158	0.3545321	0.4771464
YAL034W-A	15.97408	0.656296	0.40788219	0.06701154	0.1234637
YAL035W	3709.441	1.070596	0.22487455	7.326445e-07	5.874652e-06
YAL036C	95.42041	1.537377	0.35193725	1.172338e-06	8.908018e-06
YAL037C-A	0.1208641	0.005593672	1.06539501	0.9715449	NA
YAL037W	6.126763	-0.5651611	0.46434799	0.1485082	0.2379099
YAL038W	365.1598	-0.03809766	0.37670266	0.9102878	0.9462057
YAL039C	58.60582	0.7391522	0.35415424	0.02155197	0.0474829
YAL040C	194.996	0.2896018	0.22205051	0.1765059	0.2753781
YAL041W	115.5312	0.9499661	0.17442857	2.500761e-08	2.913889e-07
YAL042W	28.73394	-0.6992097	0.3392989	0.02445751	0.05264715
YAL043C	136.438	0.5955617	0.25234482	0.01336696	0.0315119
YAL044C	59.84935	-0.07374262	0.44806215	0.847081	0.9015214
YAL044W-A	18.16395	0.1913782	0.37907108	0.5732001	0.6806472
YAL046C	8.80192	0.9312343	0.61748319	0.03937924	0.07927885
YAL047C	40.58867	0.961872	0.28359666	0.0003071446	0.001213839
YAL048C	53.38285	0.4307818	0.25150612	0.07280532	0.1321442
