gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
Q0020	2846.323	-1.120311	0.41907129	0.0001321372	0.001864099
Q0045	4965.675	-0.05306573	0.50297799	0.7991367	0.8997256
Q0050	97393.6	-0.9144863	0.25769755	4.423992e-05	0.0007927488
Q0055	9176.751	-1.61033	0.29354746	2.991002e-11	2.06645e-08
Q0060	1104.39	-1.404737	0.29887283	1.213829e-08	1.509518e-06
Q0065	3.97817	-0.1077316	0.43325897	0.6773466	0.8234455
Q0070	3004.823	0.588698	0.34640158	0.0263641	0.09314317
Q0075	851.7303	-1.317387	0.41802503	8.611253e-06	0.000229766
Q0080	0.2014902	0	0.62050229	1	NA
Q0085	107.7831	-1.42464	0.46796296	5.11836e-06	0.0001522773
Q0105	4.0624	-0.6407824	0.5314695	0.01549134	0.0646044
Q0110	237.5755	-0.7625803	0.24057351	0.0003372637	0.003854973
Q0115	2207.412	-0.6032418	0.42516379	0.02985525	0.1027553
Q0120	1939.728	-0.3066173	0.24141253	0.1505465	0.315716
Q0130	21.20791	-0.2103068	0.52674972	NA	NA
Q0140	23.95531	-0.9150342	0.39962396	0.001281654	0.010283
Q0158	122130.6	-1.523748	0.31146899	1.580627e-09	2.520087e-07
Q0160	6.302405	-0.3752306	0.39953761	0.1652929	0.3379781
Q0250	47.40476	-0.3513233	0.33580065	0.1762159	0.3544842
Q0255	1065.918	-1.008637	0.3868043	0.000357586	0.004028025
Q0275	14.37856	-0.2503543	0.36644465	0.34664	0.5553742
Q0285	6.610505	-0.167942	0.41031453	0.5267544	0.7126098
tA(UGC)Q	0.05580019	-0.01021155	0.6229292	0.847678	NA
tC(GCA)Q	0.5480629	0	0.59835959	1	NA
tD(GUC)Q	1.021843	-0.3516941	0.58722521	0.04790703	0.1452394
tE(UUC)Q	1.161039	-0.2925554	0.57043357	0.08569787	0.2153215
tF(GAA)Q	0.06227201	0	0.62050229	1	NA
tG(UCC)Q	1.055226	-0.05369759	0.56141188	0.6248673	0.7861196
tH(GUG)Q	0.2119417	0.003862922	0.62084784	0.9419458	NA
tI(GAU)Q	0.2171207	0	0.62050229	1	NA
tK(UUU)Q	0.1307729	0	0.62050229	1	NA
tL(UAA)Q	0.1292058	-0.01021155	0.6229292	0.847678	NA
tM(CAU)Q1	1.042296	-0.571976	0.82530263	0.004456539	0.02565811
tM(CAU)Q2	0.3276898	0	0.62050229	1	NA
tN(GUU)Q	0.1573409	0.01425336	0.62433651	0.7898265	NA
tP(UGG)Q	0.2139102	0	0.62050229	1	NA
tQ(UUG)Q	0.8737209	0.02840921	0.55177243	0.8224422	0.91239
tR(ACG)Q2	0.1609926	-0.00316258	0.62073384	0.9524513	NA
tR(UCU)Q1	0.0794596	-0.01021155	0.6229292	0.847678	NA
tS(GCU)Q1	0.1058768	0.003862922	0.62084784	0.9419458	NA
tS(UGA)Q2	0.1935475	0.00901079	0.62213688	0.8654647	NA
tT(UAG)Q2	7.791433	0.2316124	0.45050678	0.3653302	0.5727744
tT(UGU)Q1	0.2787629	-0.03097623	0.57336436	0.7162683	NA
tV(UAC)Q	0.3307121	0.01199009	0.57094308	0.8890436	NA
tW(UCA)Q	0.1226141	0	0.62050229	1	NA
tY(GUA)Q	1.067754	-0.3203854	0.56845018	0.07485105	0.1958319
YAL001C	342.4394	-0.01997628	0.1432268	0.8844325	0.9444275
YAL002W	165.9709	-0.2628234	0.14118012	0.0525358	0.1539433
YAL003W	339.878	-0.02260607	0.28875205	0.925052	0.9706969
YAL005C	3393.312	0.3151856	0.32566064	0.2186152	0.4102401
YAL007C	89.64924	0.242629	0.22891683	0.2365365	0.4345004
YAL008W	69.48535	-0.5588748	0.3023567	0.02403723	0.0874567
YAL009W	8.411219	0.3272088	0.44823805	0.2103054	0.3991694
YAL010C	17.28728	-0.4281471	0.34208651	0.1025487	0.243656
YAL011W	282.2382	0.820143	0.20457816	1.181242e-05	0.0002907184
YAL012W	169.7128	0.1976612	0.37092328	0.457591	0.6583297
YAL013W	325.0917	0.40987	0.20693273	0.03022312	0.1037699
YAL014C	22.49004	-0.1536742	0.32066755	0.5449813	0.7270314
YAL015C	31.47649	0.05446452	0.25500712	0.8060923	0.9044747
YAL016W	194.7224	-0.2999543	0.27951065	0.2033118	0.3901253
YAL017W	129.0201	-0.03748512	0.21415599	0.8472961	0.9257577
YAL018C	2.240482	-0.2546491	0.50221018	0.258024	0.4612831
YAL019W	325.8194	0.6265267	0.20086522	0.0006802499	0.006366155
YAL020C	50.80176	0.5218389	0.33262947	0.04467742	0.1378793
YAL021C	21.4639	-0.389213	0.32207071	0.1273199	0.2815345
YAL022C	39.69683	-0.3124589	0.26513782	0.1702677	0.3457624
YAL023C	84.96818	0.03894225	0.27724089	0.8680936	0.9376075
YAL024C	153.5868	0.6560073	0.22226928	0.001045303	0.008759694
YAL025C	154.6554	0.4170197	0.30478441	0.09303659	0.2285664
YAL026C	95.26013	0.266822	0.19388366	0.1368048	0.2960344
YAL027W	19.41847	0.008444501	0.34950315	0.9742773	0.9958994
YAL028W	51.21559	-0.5439421	0.23599902	0.009459301	0.04531428
YAL029C	182.0925	0.2073216	0.17830449	0.2145302	0.4053299
YAL030W	47.07856	0.4358337	0.25839895	0.051585	0.1521611
YAL031C	72.69033	0.2090136	0.26065133	0.3534075	0.5611518
YAL032C	16.1824	-0.4760715	0.34164377	0.06976605	0.186985
YAL033W	55.26044	-0.4176096	0.28573682	0.08078254	0.2059475
YAL034C	82.95345	-0.06094273	0.39387822	0.818687	0.91001
YAL034W-A	15.97408	0.54335	0.36068757	0.04302023	0.1338838
YAL035W	3709.441	0.7560335	0.21679598	0.0001165828	0.001689772
YAL036C	95.42041	0.5635103	0.30973749	0.02479245	0.08914539
