gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
Q0020	2846.323	-2.096428	0.47572964	9.011147e-08	9.737258e-07
Q0045	4965.675	2.06826	1.20152404	0.0004690288	0.001886525
Q0050	97393.6	-1.363312	0.2691583	8.035054e-08	8.817707e-07
Q0055	9176.751	-2.226099	0.28824189	5.385595e-17	3.713133e-15
Q0060	1104.39	-0.5530086	0.2851598	0.0395708	0.08586986
Q0065	3.97817	-0.7289985	0.6165039	0.1012441	0.1864126
Q0070	3004.823	8.600507	0.39613097	1.507976e-106	9.565094e-103
Q0075	851.7303	-9.115634	0.49869577	6.175912e-76	1.305794e-72
Q0080	0.2014902	0.01372396	1.03104534	0.9252445	0.9646656
Q0085	107.7831	-2.015468	0.47501436	2.724512e-07	2.62638e-06
Q0105	4.0624	-1.039104	0.67517008	0.02408193	0.05663762
Q0110	237.5755	-0.3926249	0.24879837	0.09892266	0.1833089
Q0115	2207.412	0.09452928	0.48921874	0.8147371	0.8923362
Q0120	1939.728	-1.222809	0.26149387	8.19382e-07	7.090931e-06
Q0130	21.20791	-0.1149385	0.72736607	NA	NA
Q0140	23.95531	-1.249263	0.44441197	0.0009908882	0.003643596
Q0158	122130.6	-2.011186	0.30652459	7.871092e-13	2.547262e-11
Q0160	6.302405	-0.396173	0.47578922	0.318606	0.4592994
Q0250	47.40476	1.031926	0.35466466	0.001347573	0.004743425
Q0255	1065.918	2.932233	0.4679987	1.580326e-13	6.075154e-12
Q0275	14.37856	-3.785207	0.73310504	1.313878e-10	2.79662e-09
Q0285	6.610505	0.1405519	0.49803463	0.7300509	0.8315161
tA(UGC)Q	0.05580019	-0.005647074	1.03044393	0.9691905	0.9953975
tC(GCA)Q	0.5480629	0.01918399	0.99856587	0.9088023	0.9555002
tD(GUC)Q	1.021843	-0.2122127	0.77332493	0.6003272	0.7283385
tE(UUC)Q	1.161039	-0.9331687	1.00039207	0.02893744	0.06619191
tF(GAA)Q	0.06227201	0	1.03032153	1	1
tG(UCC)Q	1.055226	-0.1241495	0.90585215	0.6632046	0.7815999
tH(GUG)Q	0.2119417	0.01372396	1.03104534	0.9252445	0.9646656
tI(GAU)Q	0.2171207	0.03966567	1.03532015	0.7876838	0.8738865
tK(UUU)Q	0.1307729	0	1.03032153	1	1
tL(UAA)Q	0.1292058	-0.02504986	1.03274124	0.8641633	0.9262231
tM(CAU)Q1	1.042296	-0.9436091	1.00434755	0.02770663	0.06376747
tM(CAU)Q2	0.3276898	0.0634284	1.04398846	0.669422	0.7866143
tN(GUU)Q	0.1573409	0	1.03032153	1	1
tP(UGG)Q	0.2139102	0	1.03032153	1	1
tQ(UUG)Q	0.8737209	-0.1559596	0.88520982	0.6169865	0.7419044
tR(ACG)Q2	0.1609926	-0.02504986	1.03274124	0.8641633	0.9262231
tR(UCU)Q1	0.0794596	-0.005647074	1.03044393	0.9691905	0.9953975
tS(GCU)Q1	0.1058768	0	1.03032153	1	1
tS(UGA)Q2	0.1935475	0.02757126	1.03293653	0.8508478	0.918626
tT(UAG)Q2	7.791433	0.7085193	0.59122648	0.1070041	0.1944777
tT(UGU)Q1	0.2787629	-0.07487616	0.94472269	0.7461611	0.8432007
tV(UAC)Q	0.3307121	0	0.93930285	1	1
tW(UCA)Q	0.1226141	0.01372396	1.03104534	0.9252445	0.9646656
tY(GUA)Q	1.067754	-0.3651123	0.76804503	0.3801066	0.5247545
YAL001C	342.4394	0.533789	0.14579711	0.0002019543	0.0009162856
YAL002W	165.9709	0.5374003	0.1388609	8.742594e-05	0.0004366478
YAL003W	339.878	0.7116754	0.32215055	0.01699139	0.041693
YAL005C	3393.312	0.4369674	0.36872469	0.1892224	0.3053262
YAL007C	89.64924	0.784643	0.24233345	0.0007248957	0.002764891
YAL008W	69.48535	-1.259119	0.3495233	7.257034e-05	0.0003709216
YAL009W	8.411219	0.5506651	0.57626304	0.205218	0.3251287
YAL010C	17.28728	-0.6211009	0.3965949	0.07732133	0.1497968
YAL011W	282.2382	1.909061	0.21223722	6.37426e-21	6.85287e-19
YAL012W	169.7128	0.5045609	0.44275646	0.1840633	0.2991324
YAL013W	325.0917	0.9530375	0.21642244	5.14829e-06	3.576737e-05
YAL014C	22.49004	-0.2329841	0.37001271	0.4852061	0.6269428
YAL015C	31.47649	0.3337714	0.27438835	0.1988919	0.3176962
YAL016W	194.7224	-0.09405708	0.30512485	0.7414197	0.8402403
YAL017W	129.0201	-0.4670639	0.23144939	0.03597611	0.07928994
YAL018C	2.240482	0.4997221	0.6324032	0.2593968	0.3914388
YAL019W	325.8194	1.451497	0.20844793	5.468053e-13	1.835125e-11
YAL020C	50.80176	1.197487	0.37396034	0.000350178	0.001474112
YAL021C	21.4639	-0.3299682	0.35936756	0.3117976	0.4519497
YAL022C	39.69683	-0.1745558	0.28606247	0.5172492	0.6551341
YAL023C	84.96818	0.6604927	0.30446023	0.02016219	0.04855307
YAL024C	153.5868	1.61099	0.23276113	4.252238e-13	1.481975e-11
YAL025C	154.6554	0.9970263	0.33921075	0.001329346	0.004692288
YAL026C	95.26013	0.2061258	0.2046615	0.2994385	0.4382872
YAL027W	19.41847	0.290875	0.40583781	0.4161732	0.5609407
YAL028W	51.21559	-0.9806997	0.26120121	7.775088e-05	0.0003923419
YAL029C	182.0925	0.1515203	0.18636382	0.4046637	0.5491618
YAL030W	47.07856	1.752551	0.27240219	6.4489e-12	1.778494e-10
YAL031C	72.69033	0.7118237	0.28106883	0.007271248	0.02025539
YAL032C	16.1824	0.07487989	0.36313441	0.8199468	0.8951413
YAL033W	55.26044	0.793828	0.29417592	0.004007608	0.01209337
YAL034C	82.95345	0.06512357	0.48309765	0.8708612	0.9315131
YAL034W-A	15.97408	1.259844	0.41475784	0.0004923115	0.001962748
YAL035W	3709.441	1.3718	0.22566738	2.447635e-10	4.77703e-09
YAL036C	95.42041	1.399807	0.34506351	7.945286e-06	5.222482e-05
YAL037C-A	0.1208641	-0.005647074	1.03044393	0.9691905	0.9953975
YAL037W	6.126763	-0.6505639	0.48435302	0.1051717	0.1919725
YAL038W	365.1598	-0.5682862	0.38002944	0.09519716	0.1777555
YAL039C	58.60582	1.03441	0.35653119	0.001374042	0.004821767
YAL040C	194.996	0.8186135	0.22187957	0.0001310718	0.0006251042
YAL041W	115.5312	0.7791251	0.17744547	7.068904e-06	4.695085e-05
YAL042W	28.73394	-0.3745324	0.33684218	0.2264263	0.3514982
YAL043C	136.438	0.5636494	0.25365001	0.01989727	0.04800622
YAL044C	59.84935	0.4586336	0.44876324	0.2313548	0.3571389
YAL044W-A	18.16395	0.3354774	0.38274616	0.3274159	0.4700767
YAL046C	8.80192	0.750837	0.60125707	0.08955649	0.1696198
YAL047C	40.58867	0.9934801	0.28607385	0.0002209444	0.0009911245
