gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
Q0020	2846.323	-2.954331	0.471472	1.498179e-12	2.754478e-11
Q0045	4965.675	-1.12996	0.85987083	0.04380014	0.08188161
Q0050	97393.6	-2.344345	0.27510147	6.900714e-19	5.149556e-17
Q0055	9176.751	-1.288245	0.37085969	0.0001862776	0.0006567865
Q0060	1104.39	-1.149688	0.29173206	3.756238e-05	0.0001566458
Q0065	3.97817	-0.5770556	0.61340921	0.2470286	0.3511659
Q0070	3004.823	-0.8941367	0.27462248	0.0007094044	0.002173793
Q0075	851.7303	-0.9061469	0.48980616	0.03558599	0.06856681
Q0080	0.2014902	-0.08606483	1.18195391	0.6537133	0.7526781
Q0085	107.7831	-2.908972	0.469823	2.909291e-12	5.000985e-11
Q0105	4.0624	-1.615824	0.67694091	0.00233962	0.00625905
Q0110	237.5755	-0.498036	0.50825031	0.2608677	0.3675442
Q0115	2207.412	-0.6365081	0.51972865	0.157119	0.2419533
Q0120	1939.728	-0.7895584	0.26277541	0.001848606	0.005113698
Q0130	21.20791	-2.268439	0.86590831	NA	NA
Q0140	23.95531	-1.570197	0.41775128	3.708219e-05	0.0001549489
Q0158	122130.6	-2.986256	0.30732174	1.106544e-24	1.896975e-22
Q0160	6.302405	-0.4680294	0.54357452	0.3127559	0.4234388
Q0250	47.40476	-0.5492885	0.30766798	0.06095899	0.1087965
Q0255	1065.918	0.8466342	0.40351976	0.02230842	0.04517953
Q0275	14.37856	-0.6165499	0.58932179	0.2060043	0.3026837
Q0285	6.610505	0.3742572	0.54181614	0.4185435	0.5341212
tA(UGC)Q	0.05580019	0	1.1732759	1	1
tC(GCA)Q	0.5480629	-0.09206042	1.1545979	0.6831335	0.7780818
tD(GUC)Q	1.021843	-0.9237966	0.97412473	0.08161136	0.1386715
tE(UUC)Q	1.161039	-1.985767	1.30637459	0.001372225	0.003920732
tF(GAA)Q	0.06227201	0	1.1732759	1	1
tG(UCC)Q	1.055226	-0.953323	1.20178793	0.03243667	0.06315095
tH(GUG)Q	0.2119417	0.01527219	1.17357569	0.9358041	0.967847
tI(GAU)Q	0.2171207	-0.009841504	1.17340029	0.9586015	0.983562
tK(UUU)Q	0.1307729	-0.07917576	1.1805525	0.6793442	0.775712
tL(UAA)Q	0.1292058	-0.07688909	1.18012379	0.6879504	0.7823
tM(CAU)Q1	1.042296	-0.4899753	0.94488478	0.3324943	0.4440024
tM(CAU)Q2	0.3276898	0.03965467	1.17425726	0.8355507	0.9014966
tN(GUU)Q	0.1573409	-0.03498253	1.17485867	0.8537296	0.9122653
tP(UGG)Q	0.2139102	-0.03498253	1.17485867	0.8537296	0.9122653
tQ(UUG)Q	0.8737209	-0.6248648	1.03256838	0.1810256	0.2723542
tR(ACG)Q2	0.1609926	0.01527219	1.17357569	0.9358041	0.967847
tR(UCU)Q1	0.0794596	0.01527219	1.17357569	0.9358041	0.967847
tS(GCU)Q1	0.1058768	-0.03498253	1.17485867	0.8537296	0.9122653
tS(UGA)Q2	0.1935475	-0.06421489	1.17807536	0.7364868	0.8234684
tT(UAG)Q2	7.791433	-0.3863592	0.56411901	0.4156732	0.5314685
tT(UGU)Q1	0.2787629	-0.1048568	1.09940211	0.7411891	0.8271221
tV(UAC)Q	0.3307121	0.1205649	1.09857634	0.7066719	0.7992236
tW(UCA)Q	0.1226141	-0.06258512	1.17785231	0.7428257	0.8286569
tY(GUA)Q	1.067754	-0.1348103	0.85454188	0.7983833	0.8719258
YAL001C	342.4394	0.4241923	0.14895433	0.003982794	0.009977433
YAL002W	165.9709	0.3021631	0.14129881	0.03079133	0.06031791
YAL003W	339.878	1.053832	0.33287365	0.0007914602	0.002403175
YAL005C	3393.312	1.017553	0.38326428	0.004125475	0.01027738
YAL007C	89.64924	1.599887	0.27227475	9.650321e-10	9.841155e-09
YAL008W	69.48535	-1.129973	0.32747342	0.0002607679	0.000885466
YAL009W	8.411219	-0.2623473	0.49289395	0.5450013	0.6555602
YAL010C	17.28728	-1.02853	0.37786389	0.003341501	0.008529231
YAL011W	282.2382	1.181984	0.20701416	5.201861e-09	4.660368e-08
YAL012W	169.7128	1.231218	0.47563061	0.003504599	0.00891326
YAL013W	325.0917	0.7603058	0.2182424	0.0003571359	0.001177398
YAL014C	22.49004	0.135042	0.37626089	0.699592	0.7926959
YAL015C	31.47649	-0.1345629	0.2815013	0.6188881	0.7233475
YAL016W	194.7224	-0.8651119	0.30805692	0.003175436	0.008184392
YAL017W	129.0201	-0.4171669	0.23259391	0.06532712	0.1150708
YAL018C	2.240482	0.1232007	0.77354643	0.8181559	0.8895377
YAL019W	325.8194	1.657464	0.21442219	2.290269e-15	7.191671e-14
YAL020C	50.80176	0.4549221	0.36379186	0.1807394	0.2720527
YAL021C	21.4639	-0.9777065	0.37224896	0.004731951	0.01156638
YAL022C	39.69683	0.06067476	0.29456451	0.8296348	0.8980159
YAL023C	84.96818	1.241828	0.31863831	3.907082e-05	0.0001616609
YAL024C	153.5868	1.403481	0.23920761	1.450578e-09	1.426514e-08
YAL025C	154.6554	2.029255	0.36484457	2.346456e-09	2.214817e-08
YAL026C	95.26013	0.2458899	0.213159	0.2380064	0.3410923
YAL027W	19.41847	-0.667699	0.39206189	0.06506976	0.1147768
YAL028W	51.21559	-0.9763694	0.25723269	8.530597e-05	0.0003242036
YAL029C	182.0925	0.8373793	0.1945175	1.135535e-05	5.339288e-05
YAL030W	47.07856	1.043312	0.2873064	0.0001494164	0.0005363601
YAL031C	72.69033	-0.09973777	0.27536663	0.706739	0.7992236
YAL032C	16.1824	0.3022263	0.39569342	0.4076907	0.524221
YAL033W	55.26044	-0.7185423	0.28498592	0.008568095	0.01959172
YAL034C	82.95345	0.1233908	0.49912202	0.7778626	0.8562969
YAL034W-A	15.97408	0.7021354	0.45255267	0.08397226	0.1421121
YAL035W	3709.441	1.449369	0.22757457	5.818439e-11	7.67284e-10
YAL036C	95.42041	2.221963	0.37138138	1.194518e-10	1.440461e-09
YAL037C-A	0.1208641	0	1.1732759	1	1
YAL037W	6.126763	-0.3522764	0.55982614	0.4558466	0.5715428
YAL038W	365.1598	0.04603391	0.38933634	0.8983081	0.9455639
YAL039C	58.60582	0.9475723	0.3544481	0.00430113	0.01064458
YAL040C	194.996	-0.13306	0.21748664	0.5310661	0.6429762
YAL041W	115.5312	0.4880147	0.17508544	0.004647276	0.01137407
YAL042W	28.73394	-0.6150822	0.34644499	0.05893468	0.1056887
YAL043C	136.438	1.059533	0.26576687	3.515116e-05	0.0001479521
YAL044C	59.84935	0.639938	0.46771839	0.1246493	0.1989058
YAL044W-A	18.16395	0.05122542	0.41941565	0.8935886	0.9418465
YAL046C	8.80192	1.535949	0.70197466	0.004422643	0.01091125
YAL047C	40.58867	0.6391422	0.29116638	0.02187607	0.04437477
YAL048C	53.38285	-0.1824377	0.25374218	0.4577635	0.5732664
YAL049C	38.99791	-1.036157	0.33562806	0.001055021	0.003096715
YAL051W	105.3755	-0.2018727	0.20538009	0.3154889	0.4264108
YAL053W	167.6226	1.777897	0.21043518	4.980682e-18	2.898391e-16
YAL054C	64.18256	-0.2149943	0.53917212	0.6410615	0.7421524
YAL055W	324.736	0.07387551	0.21904577	0.7297892	0.818577
YAL056W	158.0237	-0.7568941	0.27408954	0.004099999	0.01022662
YAL058W	24.58468	0.7432424	0.38598311	0.03743377	0.07173486
YAL059W	48.00991	1.289699	0.32094179	2.19002e-05	9.633355e-05
YAL060W	225.1576	-0.8847499	0.45901321	0.03118703	0.06101769
YAL061W	146.7188	-1.273271	0.46213461	0.002025038	0.005536559
YAL062W	51.9776	-1.233815	0.48390406	0.003875852	0.009740489
YAL063C	189.8724	-1.056782	0.45943213	0.01009207	0.0226118
YAL063C-A	0.4435201	0.08311062	1.04619904	0.8329859	0.9001072
YAL064C-A	4.38771	0.1622187	0.93882443	0.7424717	0.8284077
YAL064W	0.5115588	-0.1626633	1.01631145	0.7064416	0.7992236
YAL064W-B	7.493571	0.2321625	0.55539165	0.6213463	0.7255522
YAL065C	94.14755	0.9603147	0.52485553	0.03400029	0.06583145
YAL067C	13.06142	0.8714001	0.47819856	0.03966736	0.07540007
YAL067W-A	0.3330339	-0.1159023	1.13553496	0.6543213	0.7531047
YAL068C	0.9450379	-0.6699095	0.95557117	0.1925809	0.2861421
YAR002C-A	73.73389	1.34521	0.28220979	6.576272e-07	3.887539e-06
YAR002W	40.81833	-0.4467707	0.23606659	0.05160029	0.09429577
YAR003W	65.56562	-0.259538	0.24483883	0.2746829	0.3829261
YAR007C	40.81796	0.1404174	0.33559616	0.6577572	0.7566841
YAR008W	24.20052	1.282242	0.38004664	0.0002696038	0.0009120518
YAR009C	4.994831	0.3797386	0.93818236	0.4498349	0.5659078
YAR010C	0.09346285	0	1.1732759	1	1
YAR014C	148.9108	1.142757	0.18866373	6.74712e-10	7.109134e-09
YAR015W	38.50924	-0.7896973	0.59627658	0.1079215	0.1755696
YAR018C	10.9802	0.2450736	0.5049527	0.5783942	0.6861332
YAR019C	56.9857	-0.0234155	0.30802118	0.9364412	0.9678504
YAR020C	0.2682632	-0.08101689	1.17842772	0.6764306	0.7733596
YAR023C	28.43356	-0.7809084	0.36116996	0.02067107	0.04215968
YAR027W	17.17666	-1.349272	0.63112386	0.00809995	0.01863223
YAR028W	7.697774	-0.9436369	0.62812752	0.06228291	0.1107543
YAR029W	0.4146428	-0.314335	1.09357944	0.3794327	0.4947054
YAR031W	10.62299	-0.6107264	0.51752274	0.1733516	0.2633068
YAR033W	6.86936	-0.1316942	0.728744	0.8043834	0.8774211
YAR035C-A	0.0765584	0	1.1732759	1	1
YAR035W	43.35165	-1.23762	0.450371	0.0022082	0.005955191
YAR042W	604.0617	1.513672	0.15932231	5.866222e-22	7.29597e-20
YAR050W	372.2482	-0.591479	0.42625827	0.1270805	0.2022257
YAR061W	94.53537	-3.345173	0.47504399	1.384738e-15	4.647297e-14
YAR064W	0.685083	0.06469665	1.07288092	0.8560585	0.9136764
YAR066W	0.4196427	-0.03498253	1.17485867	0.8537296	0.9122653
YAR068W	2.573542	-0.8252355	0.77810548	0.1308953	0.2072563
YAR071W	9.260818	0.2975139	0.64137983	0.5588947	0.6683765
YBL001C	1273.466	-0.3308539	0.30636157	0.2574123	0.3634022
