gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
Q0020	2846.323	-2.987272	0.47435487	1.714467e-12	2.583103e-11
Q0045	4965.675	0.00707377	0.81034264	0.9896777	1
Q0050	97393.6	-2.320507	0.27611417	2.055889e-18	1.010892e-16
Q0055	9176.751	-2.45688	0.28306389	1.315556e-19	7.798667e-18
Q0060	1104.39	-0.6709844	0.29040903	0.0159118	0.03289719
Q0065	3.97817	-0.3814443	0.66446405	0.4650064	0.5736164
Q0070	3004.823	-0.1065378	0.27327709	0.6858879	0.7745392
Q0075	851.7303	0.3001188	0.49445403	0.4911004	0.5977013
Q0080	0.2014902	0.03000217	1.21523925	0.8826067	0.9301016
Q0085	107.7831	-1.95728	0.45746649	1.828801e-06	8.841528e-06
Q0105	4.0624	-0.2872292	0.71482838	0.5925121	0.6920096
Q0110	237.5755	-0.08781089	0.25181614	0.7190525	0.8019958
Q0115	2207.412	0.6119428	0.52186913	0.1766317	0.2637417
Q0120	1939.728	0.3137618	0.26280895	0.2167191	0.3107099
Q0130	21.20791	-1.849222	0.93564494	NA	NA
Q0140	23.95531	-1.293409	0.4530493	0.001483183	0.003959525
Q0158	122130.6	-2.485814	0.30495397	1.081116e-17	4.57168e-16
Q0160	6.302405	0.3951561	0.52505591	0.384999	0.4942949
Q0250	47.40476	-0.7852102	0.31615597	0.008966273	0.0198026
Q0255	1065.918	0.8245132	0.4045534	0.02662737	0.05155599
Q0275	14.37856	-0.6680924	0.60939317	0.1817049	0.2700809
Q0285	6.610505	0.5502952	0.53660539	0.2332894	0.3300077
tA(UGC)Q	0.05580019	0.03000217	1.21523925	0.8826067	0.9301016
tC(GCA)Q	0.5480629	0.004432255	1.19143515	0.9851828	1
tD(GUC)Q	1.021843	-0.2555109	0.88256091	0.6366477	0.7322314
tE(UUC)Q	1.161039	-0.8158904	1.0228356	0.1261746	0.1979533
tF(GAA)Q	0.06227201	0	1.21431512	1	1
tG(UCC)Q	1.055226	-0.1223809	1.08324725	0.7653611	0.8371591
tH(GUG)Q	0.2119417	-0.04108005	1.21519734	0.8407189	0.8977576
tI(GAU)Q	0.2171207	0.06613737	1.21816061	0.7463528	0.8221806
tK(UUU)Q	0.1307729	-0.02381612	1.21489646	0.9066692	0.9446456
