gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
Q0020	2846.323	-0.7995758	0.39917063	0.007896097	0.0350976
Q0045	4965.675	-0.2257488	0.55872538	0.3690812	0.5534401
Q0050	97393.6	-0.5785194	0.25941523	0.01116335	0.04487432
Q0055	9176.751	-0.8178689	0.34617101	0.003577433	0.01900687
Q0060	1104.39	-0.821259	0.27821232	0.0007620171	0.005761454
Q0065	3.97817	-0.6405769	0.57439008	0.03459125	0.1036887
Q0070	3004.823	-1.023371	0.26746575	1.605625e-05	0.0002903466
Q0075	851.7303	-0.5729282	0.43118887	0.05788355	0.1531
Q0080	0.2014902	-0.02558751	0.68083157	0.6878282	NA
Q0085	107.7831	-1.018758	0.40346902	0.0009009375	0.006591012
Q0105	4.0624	-0.73027	0.53728318	0.02106186	0.07251469
Q0110	237.5755	-0.6573883	0.51631619	0.03489131	0.1042804
Q0115	2207.412	-1.013275	0.49941431	0.002233953	0.01323004
Q0120	1939.728	-2.040038	0.28444764	2.562203e-16	1.734896e-13
Q0130	21.20791	-2.69799	1.26248284	NA	NA
Q0140	23.95531	-0.8888498	0.38063186	0.00270562	0.01526671
Q0158	122130.6	-1.057728	0.28821002	2.437314e-05	0.0004036139
Q0160	6.302405	-0.7111618	0.54981653	0.02356643	0.07853182
Q0250	47.40476	-1.108037	0.31809331	3.623534e-05	0.000549299
Q0255	1065.918	-1.147105	0.39825096	0.0001825243	0.001914463
Q0275	14.37856	-0.5574162	0.52391897	0.06550771	0.1671009
Q0285	6.610505	-0.4654576	0.50840549	0.1172648	0.2556424
tA(UGC)Q	0.05580019	0	0.67602576	1	NA
tC(GCA)Q	0.5480629	-0.03878452	0.66946127	0.6068393	NA
tD(GUC)Q	1.021843	-0.4938997	0.69349929	0.03361005	NA
tE(UUC)Q	1.161039	-0.4742581	0.67349137	0.04390062	NA
tF(GAA)Q	0.06227201	0.01585102	0.67784836	0.8020515	NA
tG(UCC)Q	1.055226	-0.3241617	0.72069713	0.04440941	NA
tH(GUG)Q	0.2119417	0	0.67602576	1	NA
tI(GAU)Q	0.2171207	-0.008687022	0.67664262	0.8902879	NA
tK(UUU)Q	0.1307729	-0.02330699	0.67996836	0.7139191	NA
tL(UAA)Q	0.1292058	-0.0225503	0.67970583	0.7226687	NA
tM(CAU)Q1	1.042296	-0.1542501	0.59829494	0.450893	NA
tM(CAU)Q2	0.3276898	-0.008687022	0.67664262	0.8902879	NA
tN(GUU)Q	0.1573409	-0.0003453275	0.67602673	0.9956222	NA
tP(UGG)Q	0.2139102	-0.0003453275	0.67602673	0.9956222	NA
tQ(UUG)Q	0.8737209	-0.2698475	0.65689641	0.1245899	NA
tR(ACG)Q2	0.1609926	0	0.67602576	1	NA
tR(UCU)Q1	0.0794596	0	0.67602576	1	NA
tS(GCU)Q1	0.1058768	-0.008687022	0.67664262	0.8902879	NA
tS(UGA)Q2	0.1935475	-0.01835897	0.67846581	0.7719093	NA
tT(UAG)Q2	7.791433	-0.5915541	0.49715925	0.05449319	0.1457777
tT(UGU)Q1	0.2787629	-0.02633791	0.64392991	0.8092025	NA
tV(UAC)Q	0.3307121	0	0.64307236	1	NA
tW(UCA)Q	0.1226141	-0.009383503	0.67644682	0.8819485	NA
tY(GUA)Q	1.067754	-0.2460187	0.6109082	0.2442927	NA
YAL001C	342.4394	0.02016763	0.13942145	0.8728883	0.9363429
YAL002W	165.9709	0.09746306	0.1386566	0.4333287	0.6125505
YAL003W	339.878	0.6637955	0.31358267	0.01124099	0.04509803
YAL005C	3393.312	-0.1915872	0.33033796	0.4629851	0.6366992
YAL007C	89.64924	0.7151757	0.26773905	0.002458677	0.01425992
YAL008W	69.48535	-0.4501881	0.30208976	0.07195487	0.1786122
YAL009W	8.411219	-0.5010648	0.44976189	0.09667009	0.2228092
YAL010C	17.28728	-0.8205582	0.36506771	0.004518218	0.0228878
YAL011W	282.2382	0.7247573	0.20279381	0.0001326587	0.001508251
YAL012W	169.7128	0.5402882	0.41178388	0.06886011	0.1733306
YAL013W	325.0917	0.5421599	0.2142173	0.005633797	0.02705466
YAL014C	22.49004	0.2706586	0.33502307	0.3052611	0.4894136
YAL015C	31.47649	-0.06689138	0.25758566	0.7597192	0.8628357
YAL016W	194.7224	-0.530121	0.29215324	0.03162769	0.09690255
YAL017W	129.0201	-0.2142448	0.22206832	0.2660634	0.4474035
YAL018C	2.240482	-0.1626094	0.57316042	0.4828524	0.6538894
YAL019W	325.8194	0.6105437	0.21103357	0.001736309	0.01102195
YAL020C	50.80176	0.2695925	0.32739003	0.3003843	0.4835246
YAL021C	21.4639	-0.3861921	0.33121612	0.1435813	0.2946509
YAL022C	39.69683	0.4343085	0.27889569	0.06585292	0.1677007
YAL023C	84.96818	0.2790011	0.29571296	0.2513828	0.4309218
YAL024C	153.5868	-0.1556538	0.23195688	0.4366076	0.6156147
YAL025C	154.6554	1.326131	0.36330076	5.543253e-06	0.0001299253
YAL026C	95.26013	0.3644592	0.21199083	0.05297345	0.1426514
YAL027W	19.41847	-0.3299853	0.34840013	0.2231282	0.3985179
YAL028W	51.21559	-0.2521095	0.23620227	0.215339	0.3891684
YAL029C	182.0925	0.2710378	0.19649903	0.1186393	0.2577596
YAL030W	47.07856	0.8779612	0.28067779	0.0003553389	0.00324721
YAL031C	72.69033	-0.07224053	0.24941605	0.7345953	0.8455008
YAL032C	16.1824	0.4574644	0.35805281	0.09930787	0.2279373
YAL033W	55.26044	-1.122974	0.29654927	1.114643e-05	0.000216326
YAL034C	82.95345	-0.6354437	0.44708289	0.03851926	0.111726
YAL034W-A	15.97408	0.0303657	0.38922548	0.9139547	0.9607797
YAL035W	3709.441	0.8903168	0.22038571	1.220974e-05	0.0002298702
YAL036C	95.42041	0.6310503	0.34322477	0.02201145	0.07485368
YAL037C-A	0.1208641	0	0.67602576	1	NA
YAL037W	6.126763	0.06041476	0.42799993	0.8330008	0.9146503
YAL038W	365.1598	0.158974	0.33616389	0.5463354	0.7101894
YAL039C	58.60582	1.106772	0.34516327	9.017811e-05	0.00111606
YAL040C	194.996	0.05786205	0.19860993	0.7411407	0.8506466
YAL041W	115.5312	-0.02687317	0.16782302	0.8580255	0.9292354
YAL042W	28.73394	-0.2242135	0.30821008	0.3696073	0.5538373
YAL043C	136.438	0.8713174	0.2577033	0.0001593768	0.001737464
YAL044C	59.84935	0.2797532	0.39398004	0.3269706	0.5126213
YAL044W-A	18.16395	0.5278534	0.37197138	0.06369451	0.1640632
YAL046C	8.80192	0.5272244	0.53859664	0.07598804	0.1858231
YAL047C	40.58867	0.2512797	0.27803906	0.2790643	0.4598751
YAL048C	53.38285	-0.2233081	0.2440544	0.2851457	0.4673689
YAL049C	38.99791	-0.1553139	0.28625703	0.5121464	0.681493
YAL051W	105.3755	-0.6094956	0.209096	0.001629748	0.01049861
YAL053W	167.6226	0.3864115	0.21395646	0.04257827	0.120797
YAL054C	64.18256	0.1004895	0.42573772	0.7261033	0.8397938
YAL055W	324.736	0.2511459	0.2124042	0.1760545	0.3385535
YAL056W	158.0237	0.1029433	0.24379486	0.6222945	0.7668883
YAL058W	24.58468	-0.2450337	0.35895474	0.3708589	0.5546047
YAL059W	48.00991	0.4866478	0.30905958	0.05630151	0.1495647
YAL060W	225.1576	-0.3132108	0.38718638	0.2706675	0.4520273
YAL061W	146.7188	0.2091382	0.3761482	0.4538359	0.6287056
YAL062W	51.9776	0.188563	0.38268362	0.5019056	0.6727706
YAL063C	189.8724	0.1075994	0.3720125	0.6975086	0.8192806
YAL063C-A	0.4435201	0.04718056	0.62846529	0.7395791	NA
YAL064C-A	4.38771	0	0.5924313	1	1
YAL064W	0.5115588	-0.0368203	0.61768047	0.8180635	NA
YAL064W-B	7.493571	0.1318607	0.44162981	0.6467202	0.7838695
YAL065C	94.14755	2.426891	0.67384929	6.443012e-08	3.635529e-06
YAL067C	13.06142	-0.2175054	0.42411911	0.451792	0.627666
YAL067W-A	0.3330339	0.009732278	0.6544912	0.911709	NA
YAL068C	0.9450379	-0.2774756	0.62772284	0.1744923	NA
YAR002C-A	73.73389	0.2972054	0.2737138	0.1960448	0.3651065
YAR002W	40.81833	0.01801704	0.20978159	0.9220563	0.9649684
YAR003W	65.56562	-0.2294857	0.23600505	0.2585813	0.4388178
YAR007C	40.81796	-0.3317271	0.31952627	0.1971027	0.3660907
YAR008W	24.20052	0.232197	0.34656103	0.3874919	0.5696926
YAR009C	4.994831	-0.2295647	0.63402343	0.2102664	0.3820404
YAR010C	0.09346285	0	0.67602576	1	NA
YAR014C	148.9108	0.3010604	0.19423769	0.08142487	0.1958181
YAR015W	38.50924	-0.04210886	0.44691057	0.8830221	0.9415815
YAR018C	10.9802	-0.1147802	0.42180205	0.6889841	0.8129104
YAR019C	56.9857	-0.3050871	0.29220885	0.2064584	0.3778184
YAR020C	0.2682632	-0.02382752	0.67874561	0.711547	NA
YAR023C	28.43356	-0.3554455	0.32606307	0.1731155	0.3350161
YAR027W	17.17666	-0.7578343	0.53633758	0.01747001	0.06292093
YAR028W	7.697774	-0.7260442	0.58742219	0.01986345	0.06952779
YAR029W	0.4146428	-0.02608595	0.63560471	0.835629	NA
YAR031W	10.62299	0.02912697	0.40051282	0.918115	0.9626622
YAR033W	6.86936	0.2885842	0.52821277	0.2946833	0.4770989
