gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
Q0020	2846.323	-0.710059	0.45764179	0.009939471	0.0553038
Q0045	4965.675	0.4255384	0.63695242	0.06712347	0.2050378
Q0050	97393.6	-0.5331415	0.26832852	0.00782367	0.04701918
Q0055	9176.751	-1.125012	0.4398469	0.0002918005	0.004005028
Q0060	1104.39	-1.06926	0.32186397	2.692546e-05	0.0006384582
Q0065	3.97817	-0.2343127	0.45735947	0.2798437	0.5012837
Q0070	3004.823	-1.25805	0.2937953	6.388421e-07	3.475986e-05
Q0075	851.7303	-0.02331698	0.34817915	0.907381	0.9561785
Q0080	0.2014902	0	0.63941082	1	NA
Q0085	107.7831	-1.885462	0.44901669	5.32863e-07	3.092636e-05
Q0105	4.0624	-0.2068961	0.46230281	0.3287972	0.5538091
Q0110	237.5755	0.008781003	0.41528862	0.9646135	0.9853092
Q0115	2207.412	-0.246077	0.38754879	0.2569803	0.4732663
Q0120	1939.728	-1.852871	0.26758411	2.15226e-13	9.368479e-11
Q0130	21.20791	-0.08033312	0.44190095	NA	NA
Q0140	23.95531	0.1076033	0.28999546	0.5821905	0.753423
Q0158	122130.6	-1.502143	0.30770171	4.687752e-08	4.394948e-06
Q0160	6.302405	-0.299303	0.47137349	0.1872253	0.3929586
Q0250	47.40476	-1.502783	0.34343451	4.394399e-07	2.704996e-05
Q0255	1065.918	-1.024137	0.46439861	0.0009083342	0.009382014
Q0275	14.37856	-0.6795005	0.68859808	0.01996618	0.08966388
Q0285	6.610505	-0.8024205	0.67701096	0.01135684	0.06040084
tA(UGC)Q	0.05580019	0	0.63941082	1	NA
tC(GCA)Q	0.5480629	-0.0313424	0.62787686	0.6354763	NA
tD(GUC)Q	1.021843	-0.3867273	0.67405173	0.05651039	NA
tE(UUC)Q	1.161039	-0.3267451	0.655234	0.07639944	NA
tF(GAA)Q	0.06227201	0	0.63941082	1	NA
tG(UCC)Q	1.055226	-0.1022798	0.5869541	0.407535	NA
tH(GUG)Q	0.2119417	-0.01263935	0.64188197	0.8230825	NA
tI(GAU)Q	0.2171207	-0.01392774	0.64231766	0.8056541	NA
tK(UUU)Q	0.1307729	0	0.63941082	1	NA
tL(UAA)Q	0.1292058	0	0.63941082	1	NA
tM(CAU)Q1	1.042296	-0.2997638	0.64279441	0.09246975	NA
tM(CAU)Q2	0.3276898	-0.007082932	0.64025176	0.8999815	NA
tN(GUU)Q	0.1573409	-0.007082932	0.64025176	0.8999815	NA
tP(UGG)Q	0.2139102	0.007847379	0.64044375	0.8892749	NA
tQ(UUG)Q	0.8737209	-0.2224662	0.62908096	0.1326431	NA
tR(ACG)Q2	0.1609926	0.007847379	0.64044375	0.8892749	NA
tR(UCU)Q1	0.0794596	0	0.63941082	1	NA
tS(GCU)Q1	0.1058768	0	0.63941082	1	NA
tS(UGA)Q2	0.1935475	-0.007082932	0.64025176	0.8999815	NA
tT(UAG)Q2	7.791433	-0.8322539	0.7674244	0.008744815	0.05070702
tT(UGU)Q1	0.2787629	-0.02177417	0.59360753	0.8120239	NA
tV(UAC)Q	0.3307121	-0.0481987	0.59678813	0.6083764	NA
tW(UCA)Q	0.1226141	0	0.63941082	1	NA
tY(GUA)Q	1.067754	-0.04762005	0.51883929	0.774963	NA
YAL001C	342.4394	-0.1014967	0.143231	0.4345552	0.6448721
YAL002W	165.9709	0.1052794	0.13862676	0.4052775	0.6185998
