gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
Q0020	2846.323	-0.3125412	0.33701948	0.1351718	0.3330922
Q0045	4965.675	0.2209887	0.46885676	0.1712794	0.3845897
Q0050	97393.6	-0.03418132	0.22126385	0.84577	0.9323086
Q0055	9176.751	-0.2069563	0.23166352	0.2523627	0.4807732
Q0060	1104.39	-0.4789571	0.26956355	0.01668715	0.09169659
Q0065	3.97817	-0.2793576	0.46233581	0.1279438	0.3229866
Q0070	3004.823	-0.6981536	0.27758018	0.0008764838	0.01265709
Q0075	851.7303	-0.01042056	0.33397507	0.9567607	0.9878854
Q0080	0.2014902	0.005758515	0.50939497	0.8717659	NA
Q0085	107.7831	-0.4647685	0.36549654	0.03812053	0.1531355
Q0105	4.0624	-0.07425082	0.40518815	0.6636969	0.8281319
Q0110	237.5755	-0.9093065	0.26766397	1.954037e-05	0.0008100612
Q0115	2207.412	0.0381164	0.3380405	0.8426239	0.9302446
Q0120	1939.728	-0.7893474	0.2738066	0.0001875923	0.004068283
Q0130	21.20791	-0.2464074	0.45296369	NA	NA
Q0140	23.95531	-0.2247471	0.31151776	0.2642295	0.4940824
Q0158	122130.6	-0.5298653	0.27968124	0.009875283	0.06555203
Q0160	6.302405	-0.06648259	0.35430487	0.7261875	0.8628042
Q0250	47.40476	-0.7642193	0.32915417	0.001040955	0.01399851
Q0255	1065.918	-0.4413398	0.34689804	0.04447492	0.1702451
Q0275	14.37856	-0.1953916	0.38721888	0.3132519	0.5471775
Q0285	6.610505	-0.08708092	0.3623277	0.6450406	0.8170603
tA(UGC)Q	0.05580019	0	0.50874916	1	NA
tC(GCA)Q	0.5480629	0.008477683	0.50046337	0.8410466	NA
tD(GUC)Q	1.021843	-0.1573113	0.47830937	0.2220598	NA
tE(UUC)Q	1.161039	-0.1811448	0.49346154	0.1405784	NA
tF(GAA)Q	0.06227201	0	0.50874916	1	NA
tG(UCC)Q	1.055226	0.03847836	0.47968952	0.6412871	NA
tH(GUG)Q	0.2119417	-0.01152631	0.51096448	0.7485852	NA
