gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
Q0020	2846.323	-0.8647151	0.44977991	0.002566189	0.02268192
Q0045	4965.675	-0.1521191	0.47901492	0.3888933	0.6145564
Q0050	97393.6	-0.5036923	0.26652909	0.01181383	0.06615524
Q0055	9176.751	-1.323617	0.28177316	7.149711e-08	6.102789e-06
Q0060	1104.39	-1.56766	0.30326197	2.558835e-09	4.368296e-07
Q0065	3.97817	-0.3163922	0.47437604	0.1450675	0.3397798
Q0070	3004.823	0.02834455	0.30615595	0.8852834	0.9515018
Q0075	851.7303	-1.201478	0.43213272	0.0001029445	0.002106485
Q0080	0.2014902	0	0.59040377	1	NA
Q0085	107.7831	-0.7642462	0.4351116	0.00533009	0.03703173
Q0105	4.0624	-0.2891776	0.45764166	0.1789464	0.3860862
Q0110	237.5755	-2.10698	0.27303715	1.187316e-17	1.418842e-14
Q0115	2207.412	-0.3295285	0.40616891	0.1436002	0.3381991
Q0120	1939.728	-2.550839	0.28199365	2.879866e-23	1.72072e-19
Q0130	21.20791	0.00310203	0.45850891	NA	NA
Q0140	23.95531	-0.7961686	0.46083234	0.004823	0.03501504
Q0158	122130.6	-1.502516	0.30526392	1.18819e-08	1.544026e-06
Q0160	6.302405	-0.00910277	0.33294404	0.9635758	0.9892381
Q0250	47.40476	-0.9767491	0.50340033	0.001501288	0.01561773
Q0255	1065.918	-0.7188226	0.41708876	0.006899581	0.04464939
Q0275	14.37856	-0.4775515	0.41147681	0.04864126	0.1696623
Q0285	6.610505	-0.05834449	0.36124116	0.7712	0.8923853
tA(UGC)Q	0.05580019	-0.006176854	0.59135853	0.897728	NA
tC(GCA)Q	0.5480629	0	0.57041387	1	NA
tD(GUC)Q	1.021843	-0.2718195	0.5742875	0.08854729	NA
tE(UUC)Q	1.161039	-0.2194765	0.5508614	0.1462419	NA
tF(GAA)Q	0.06227201	0	0.59040377	1	NA
tG(UCC)Q	1.055226	0.03463008	0.52893603	0.728775	NA
tH(GUG)Q	0.2119417	0	0.59040377	1	NA
tI(GAU)Q	0.2171207	0.006554635	0.59147924	0.8915252	NA
tK(UUU)Q	0.1307729	0	0.59040377	1	NA
tL(UAA)Q	0.1292058	-0.006176854	0.59135853	0.897728	NA
tM(CAU)Q1	1.042296	-0.4801508	0.76057471	0.009942195	NA
tM(CAU)Q2	0.3276898	0	0.59040377	1	NA
tN(GUU)Q	0.1573409	0	0.59040377	1	NA
tP(UGG)Q	0.2139102	0	0.59040377	1	NA
tQ(UUG)Q	0.8737209	-0.04106622	0.52283204	0.7071027	NA
tR(ACG)Q2	0.1609926	-0.006176854	0.59135853	0.897728	NA
tR(UCU)Q1	0.0794596	-0.006176854	0.59135853	0.897728	NA
tS(GCU)Q1	0.1058768	0	0.59040377	1	NA
tS(UGA)Q2	0.1935475	0	0.59040377	1	NA
tT(UAG)Q2	7.791433	-0.3199063	0.51348101	0.1215561	0.3043998
tT(UGU)Q1	0.2787629	-0.01871834	0.54426338	0.8078478	NA
tV(UAC)Q	0.3307121	0.0375682	0.54660652	0.6330586	NA
tW(UCA)Q	0.1226141	0	0.59040377	1	NA
tY(GUA)Q	1.067754	-0.06513495	0.47071714	0.693221	NA
YAL001C	342.4394	-0.5500813	0.15631129	6.546694e-05	0.001504481
YAL002W	165.9709	-0.5378422	0.15847629	0.00011065	0.002226039
YAL003W	339.878	0.9491705	0.34587849	0.0002774849	0.004605478
YAL005C	3393.312	0.3871622	0.33607848	0.07785391	0.2294904
YAL007C	89.64924	0.1163608	0.21052964	0.4861875	0.7001615
YAL008W	69.48535	-0.153574	0.26524113	0.4166237	0.6417572
YAL009W	8.411219	0.5824496	0.53651885	0.02519435	0.1094809
YAL010C	17.28728	0.3432502	0.32330391	0.1079272	0.2804982
YAL011W	282.2382	0.3097912	0.20082883	0.05767539	0.1873901
YAL012W	169.7128	1.110938	0.49884625	0.0005035467	0.007197827
YAL013W	325.0917	0.01450586	0.18797858	0.9257297	0.9719267
YAL014C	22.49004	0.4223672	0.33285865	0.05585859	0.1838318
YAL015C	31.47649	0.5136388	0.27581497	0.01206881	0.06687288
YAL016W	194.7224	0.233536	0.26140576	0.2180906	0.4361504
YAL017W	129.0201	-0.1809714	0.2037213	0.2699306	0.493071
YAL018C	2.240482	-0.1847486	0.4821812	0.3125943	NA
YAL019W	325.8194	0.0508477	0.18267249	0.7391584	0.8742026
YAL020C	50.80176	0.5175899	0.36491824	0.02847502	0.1193115
YAL021C	21.4639	-0.8046235	0.42444525	0.003488982	0.02790719
YAL022C	39.69683	0.1242951	0.23509769	0.4845181	0.6988926
YAL023C	84.96818	0.08475144	0.24727653	0.6414031	0.8124621
YAL024C	153.5868	-0.4851158	0.24567412	0.01048352	0.06087372
YAL025C	154.6554	0.05265096	0.26349523	0.7781959	0.896591
YAL026C	95.26013	-0.0435421	0.18258317	0.7754743	0.8950907
YAL027W	19.41847	0.8929315	0.42915194	0.001688114	0.01677382
YAL028W	51.21559	-0.3361543	0.23669669	0.06410406	0.2010613
YAL029C	182.0925	-0.04603946	0.16735592	0.7487769	0.8797472
YAL030W	47.07856	0.7328658	0.29504084	0.001113035	0.01243062
YAL031C	72.69033	0.1066876	0.23704901	0.5498286	0.7466422
YAL032C	16.1824	-0.03318184	0.28351237	0.8628311	0.9407707
YAL033W	55.26044	-0.2770492	0.27888858	0.1596871	0.358157
YAL034C	82.95345	-0.3225117	0.40490774	0.1507225	0.3470393
YAL034W-A	15.97408	-0.1670048	0.33764934	0.4164625	0.6417572
YAL035W	3709.441	0.3354415	0.21138379	0.04724827	0.1661615
YAL036C	95.42041	0.3528183	0.30793294	0.09230124	0.2535632
YAL037C-A	0.1208641	-0.006176854	0.59135853	0.897728	NA
YAL037W	6.126763	-0.6996916	0.55153838	0.01202639	0.0667202
YAL038W	365.1598	-0.01758295	0.28440882	0.9270963	0.9728615
YAL039C	58.60582	0.8436629	0.38206143	0.001552073	0.01593183
YAL040C	194.996	0.3205188	0.21128241	0.0576731	0.1873901
YAL041W	115.5312	-0.08621154	0.16921797	0.5517667	0.7484072
YAL042W	28.73394	-0.1740221	0.27659515	0.3674316	0.5933524
YAL043C	136.438	0.1044221	0.21593307	0.5379344	0.7380298
YAL044C	59.84935	-0.02005644	0.32510583	0.9196347	0.9689327
YAL044W-A	18.16395	0.5747097	0.3796594	0.01877158	0.09081611
YAL046C	8.80192	0.3857529	0.48779628	0.0918325	0.2530972
YAL047C	40.58867	0.2509032	0.25947616	0.1850902	0.3934991
YAL048C	53.38285	-0.1802381	0.23171056	0.3085835	0.537547
YAL049C	38.99791	0.2088089	0.26796841	0.2750113	0.4988442
YAL051W	105.3755	-0.4641989	0.22546474	0.009372115	0.05627979
YAL053W	167.6226	-0.04980827	0.18998115	0.7505765	0.8812527
YAL054C	64.18256	0.1271457	0.37186896	0.5333488	0.7349536
YAL055W	324.736	0.3638705	0.21801511	0.0353062	0.135728
YAL056W	158.0237	0.0262221	0.22146828	0.8786127	0.9491431
YAL058W	24.58468	0.004119013	0.28459805	0.9828995	0.9976427
YAL059W	48.00991	0.02298548	0.255519	0.900745	0.9592226
YAL060W	225.1576	0.01373224	0.31568489	0.9446267	0.9814197
YAL061W	146.7188	-0.07676168	0.32515772	0.7010319	0.8522648
YAL062W	51.9776	-0.1823737	0.34901054	0.3798627	0.6049267
YAL063C	189.8724	0.2150007	0.33880245	0.3030344	0.5308102
YAL063C-A	0.4435201	0.03578903	0.52882878	0.7210604	NA
YAL064C-A	4.38771	-0.2091536	0.41054058	0.3183464	0.546652
YAL064W	0.5115588	-0.1180314	0.54153882	0.2997137	NA
YAL064W-B	7.493571	-0.1871216	0.42156346	0.3608357	0.5888997
YAL065C	94.14755	1.191167	0.50615763	0.0002787354	0.004613419
YAL067C	13.06142	-0.1087172	0.32790821	0.5893484	0.7772576
YAL067W-A	0.3330339	-0.01170895	0.55851464	0.8513511	NA
YAL068C	0.9450379	-0.1579935	0.53554012	0.245834	NA
YAR002C-A	73.73389	-0.001012084	0.2259991	0.9953472	1
YAR002W	40.81833	0.1045482	0.20888475	0.5294911	0.7316626
