gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
Q0020	2846.323	-1.286417	0.44071586	0.0002885528	0.001519828
Q0045	4965.675	4.541325	1.49492723	1.583788e-06	1.723092e-05
Q0050	97393.6	-0.8726361	0.26482316	0.0003554783	0.001814309
Q0055	9176.751	-11.09858	0.36000346	2.885262e-210	1.758279e-206
Q0060	1104.39	-0.4556029	0.27931176	0.07521687	0.1499907
Q0065	3.97817	-0.3326902	0.53582589	0.373244	0.511077
Q0070	3004.823	8.390871	0.39636268	2.659896e-102	8.104703e-99
Q0075	851.7303	-9.399585	0.51306628	9.459754e-78	1.152955e-74
Q0080	0.2014902	0	0.94698692	1	NA
Q0085	107.7831	-1.87862	0.49088208	9.262829e-07	1.087624e-05
Q0105	4.0624	-0.6943683	0.59296912	0.07494941	0.1496147
Q0110	237.5755	-7.456061	0.46731446	8.91619e-60	7.76218e-57
Q0115	2207.412	0.5897053	0.47623739	0.105824	0.1963953
Q0120	1939.728	-0.702622	0.25639482	0.003160721	0.01145151
Q0130	21.20791	0.9033334	0.78474526	NA	NA
Q0140	23.95531	-0.6133939	0.39493916	0.06319803	0.1308182
Q0158	122130.6	-1.764642	0.30933875	1.578751e-10	4.9338e-09
Q0160	6.302405	-0.7533916	0.49281811	0.04277673	0.09624211
Q0250	47.40476	1.533806	0.36838537	1.132719e-06	1.290241e-05
Q0255	1065.918	3.536816	0.44926031	1.697094e-17	1.814402e-15
Q0275	14.37856	-3.543545	0.67857717	3.370641e-10	9.689002e-09
Q0285	6.610505	0.1044515	0.46707112	0.7707763	0.8488738
tA(UGC)Q	0.05580019	-0.02210042	0.94955849	0.8582335	NA
tC(GCA)Q	0.5480629	0.01483544	0.91571913	0.9161088	NA
tD(GUC)Q	1.021843	-0.4424287	0.79199833	0.1781085	NA
tE(UUC)Q	1.161039	-0.8339973	1.01776594	0.02669985	NA
tF(GAA)Q	0.06227201	0	0.94698692	1	NA
tG(UCC)Q	1.055226	-0.1058638	0.82109885	0.6493227	NA
tH(GUG)Q	0.2119417	0.01066073	0.94758343	0.9312413	NA
tI(GAU)Q	0.2171207	0.01066073	0.94758343	0.9312413	NA
tK(UUU)Q	0.1307729	0	0.94698692	1	NA
tL(UAA)Q	0.1292058	-0.02210042	0.94955849	0.8582335	NA
tM(CAU)Q1	1.042296	-0.6507844	0.87306867	0.06608939	NA
tM(CAU)Q2	0.3276898	0.04336179	0.95535194	0.7286544	NA
tN(GUU)Q	0.1573409	0	0.94698692	1	NA
tP(UGG)Q	0.2139102	0	0.94698692	1	NA
tQ(UUG)Q	0.8737209	0.05785483	0.78768364	0.8211766	NA
tR(ACG)Q2	0.1609926	-0.005702843	0.9471575	0.9631747	NA
tR(UCU)Q1	0.0794596	-0.005702843	0.9471575	0.9631747	NA
tS(GCU)Q1	0.1058768	0	0.94698692	1	NA
tS(UGA)Q2	0.1935475	0	0.94698692	1	NA
tT(UAG)Q2	7.791433	0.8317453	0.5865787	0.03528107	0.08225051
tT(UGU)Q1	0.2787629	-0.01663245	0.85500935	0.9303843	NA
tV(UAC)Q	0.3307121	0.07530547	0.85875554	0.6984326	NA
tW(UCA)Q	0.1226141	0	0.94698692	1	NA
tY(GUA)Q	1.067754	-0.2236504	0.68119405	0.515104	NA
YAL001C	342.4394	0.1704696	0.1456245	0.2311771	0.3592697
YAL002W	165.9709	0.2921648	0.13932257	0.03226621	0.07653963
YAL003W	339.878	0.5521401	0.31493933	0.04993098	0.10871
YAL005C	3393.312	1.245658	0.38435673	0.0001253947	0.0007595975
YAL007C	89.64924	0.3716797	0.23975076	0.09869457	0.1864945
YAL008W	69.48535	-0.2852045	0.31441477	0.311059	0.4486797
YAL009W	8.411219	0.9954282	0.58682633	0.01312301	0.03670107
YAL010C	17.28728	-0.2968875	0.36598073	0.3446343	0.481916
YAL011W	282.2382	1.591879	0.21287112	2.618026e-15	2.099243e-13
YAL012W	169.7128	0.4311735	0.42403465	0.2097845	0.3331839
YAL013W	325.0917	0.7862232	0.21515166	0.0001171631	0.0007175796
YAL014C	22.49004	0.02385067	0.34742294	0.9372877	0.9673176
YAL015C	31.47649	0.01454609	0.27356889	0.9539745	0.9773908
YAL016W	194.7224	0.09733652	0.29546117	0.7167452	0.8075838
YAL017W	129.0201	-0.3524945	0.2266252	0.09992752	0.1882406
YAL018C	2.240482	-0.202446	0.60970979	0.5806344	0.6968071
YAL019W	325.8194	1.062534	0.20786841	7.538064e-08	1.212057e-06
YAL020C	50.80176	0.9821233	0.37079708	0.001938983	0.007550265
YAL021C	21.4639	-0.5355783	0.3561379	0.08233891	0.1613419
YAL022C	39.69683	-0.1280474	0.27727497	0.6153123	0.7257442
YAL023C	84.96818	0.7186948	0.3002651	0.008018374	0.0245052
YAL024C	153.5868	0.9754517	0.23083961	6.945179e-06	6.214966e-05
YAL025C	154.6554	0.8803886	0.33589672	0.002863441	0.01051194
YAL026C	95.26013	-0.03240429	0.20359764	0.8678422	0.9216853
YAL027W	19.41847	0.2259278	0.3881777	0.4886887	0.6219061
YAL028W	51.21559	-0.7854077	0.2530887	0.000843902	0.003759312
YAL029C	182.0925	0.1477608	0.18397656	0.4049571	0.5436899
YAL030W	47.07856	0.813179	0.27196967	0.001141028	0.004808947
YAL031C	72.69033	0.5650097	0.27677899	0.02612962	0.06429427
YAL032C	16.1824	-0.08360173	0.35243252	0.7848211	0.8591828
YAL033W	55.26044	0.4010105	0.28997171	0.1288652	0.229286
YAL034C	82.95345	0.9192875	0.49022654	0.01375765	0.03814337
YAL034W-A	15.97408	0.2748413	0.39686985	0.4060139	0.5446288
YAL035W	3709.441	1.062684	0.22471019	5.235129e-07	6.618854e-06
YAL036C	95.42041	1.236724	0.34655411	4.153908e-05	0.0002936649
YAL037C-A	0.1208641	-0.02210042	0.94955849	0.8582335	NA
YAL037W	6.126763	-0.8474665	0.50246406	0.02430257	0.0604983
YAL038W	365.1598	-0.145435	0.36252214	0.6412858	0.7463704
YAL039C	58.60582	1.207274	0.36147628	0.0001043957	0.0006558631
YAL040C	194.996	0.7196465	0.2202522	0.0005575961	0.002660917
YAL041W	115.5312	0.7185131	0.17652647	2.487414e-05	0.0001848573
YAL042W	28.73394	-0.4626676	0.33003121	0.1129333	0.2062997
YAL043C	136.438	0.41581	0.2495748	0.0743326	0.1488345
YAL044C	59.84935	0.6240491	0.43609873	0.0744013	0.1489003
YAL044W-A	18.16395	-0.1713811	0.37842007	0.5935207	0.7065667
YAL046C	8.80192	0.9938842	0.61935677	0.01464464	0.04012788
YAL047C	40.58867	0.668688	0.28390077	0.009886311	0.02903478
YAL048C	53.38285	0.2101491	0.25169633	0.3709284	0.5091075
