gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
Q0020	2846.323	-2.302744	0.45635148	2.566579e-08	1.602344e-07
Q0045	4965.675	-0.9762046	0.87368313	0.1063241	0.168183
Q0050	97393.6	-2.984874	0.2805931	7.808072e-29	1.500806e-26
Q0055	9176.751	-1.730134	0.37865274	1.21013e-06	5.606908e-06
Q0060	1104.39	-1.085074	0.29215603	0.000120354	0.000384975
Q0065	3.97817	-0.2836295	0.61531362	0.5862241	0.6896178
Q0070	3004.823	-0.7352132	0.27590912	0.005937684	0.0131229
Q0075	851.7303	0.1800518	0.5059513	0.6915826	0.7832595
Q0080	0.2014902	0.008272668	1.29461651	0.9714081	0.9951946
Q0085	107.7831	-2.400888	0.44700165	3.277963e-09	2.398168e-08
Q0105	4.0624	-1.149855	0.74019235	0.04647681	0.08173064
Q0110	237.5755	1.248008	0.60751043	0.01589069	0.03148849
Q0115	2207.412	-0.791202	0.53137312	0.09300008	0.1492551
Q0120	1939.728	-0.699261	0.2640789	0.006394226	0.0140002
Q0130	21.20791	-1.595757	0.82917816	NA	NA
Q0140	23.95531	-0.6899679	0.39934579	0.06470033	0.1092345
Q0158	122130.6	-2.817044	0.30808081	5.282399e-22	3.490235e-20
Q0160	6.302405	-0.3865212	0.57351879	0.4371572	0.5474606
Q0250	47.40476	-1.040182	0.30790089	0.0004446636	0.001270496
Q0255	1065.918	0.9110974	0.40823798	0.01673213	0.03299095
Q0275	14.37856	-0.4864722	0.58005389	0.3318825	0.4382009
Q0285	6.610505	-0.01450688	0.51674675	0.9749108	0.9975575
tA(UGC)Q	0.05580019	0	1.29456266	1	1
tC(GCA)Q	0.5480629	-0.2128345	1.29025183	0.4433307	0.5539887
tD(GUC)Q	1.021843	-0.6373841	0.86252137	0.2854423	0.3886992
tE(UUC)Q	1.161039	-0.9712297	1.06886878	0.09849571	0.1570929
tF(GAA)Q	0.06227201	0	1.29456266	1	1
tG(UCC)Q	1.055226	-0.7255832	1.20455941	0.141969	0.2160532
tH(GUG)Q	0.2119417	-0.07579883	1.29891824	0.7435506	0.824247
tI(GAU)Q	0.2171207	-0.08113544	1.2994359	0.7265389	0.8108157
tK(UUU)Q	0.1307729	0	1.29456266	1	1
tL(UAA)Q	0.1292058	0	1.29456266	1	1
tM(CAU)Q1	1.042296	-0.6560407	1.01475327	0.2556912	0.3548904
tM(CAU)Q2	0.3276898	-0.02230234	1.29495465	0.9230354	0.9642315
tN(GUU)Q	0.1573409	-0.05292847	1.29678866	0.8188191	0.8844976
tP(UGG)Q	0.2139102	0.06979298	1.29733594	0.7643357	0.8411314
tQ(UUG)Q	0.8737209	-0.4330453	1.07351642	0.4185445	0.5290609
tR(ACG)Q2	0.1609926	0.008272668	1.29461651	0.9714081	0.9951946
tR(UCU)Q1	0.0794596	0	1.29456266	1	1
tS(GCU)Q1	0.1058768	0	1.29456266	1	1
tS(UGA)Q2	0.1935475	-0.05292847	1.29678866	0.8188191	0.8844976
tT(UAG)Q2	7.791433	-0.1068461	0.60452864	0.8357142	0.8984635
tT(UGU)Q1	0.2787629	0.01975699	1.20185567	0.9586321	0.9890377
tV(UAC)Q	0.3307121	0.02093146	1.19293793	0.9575679	0.9888583
tW(UCA)Q	0.1226141	0	1.29456266	1	1
tY(GUA)Q	1.067754	-0.2684835	0.94015946	0.6453382	0.7446571
YAL001C	342.4394	0.5633787	0.14930433	0.000139006	0.0004384462
YAL002W	165.9709	0.6649373	0.13946003	1.525349e-06	6.910922e-06
YAL003W	339.878	1.460343	0.33688296	5.614738e-06	2.293257e-05
YAL005C	3393.312	0.817667	0.38555574	0.02402914	0.04541623
YAL007C	89.64924	1.416078	0.26042533	2.303875e-08	1.452632e-07
YAL008W	69.48535	-1.714238	0.33204665	6.458366e-08	3.724129e-07
YAL009W	8.411219	-0.8518866	0.52377036	0.06753552	0.113118
