"","id","variety","country","Weight_kg","weight_class"
"1","2016-P","Rouge Vif d’Etampes","Germany",342.67212095287,"medium"
"2","2013-P","Connecticut Field","Germany",582.744970497529,"Heavy"
"3","2014-P","Blue Hubbard","Italy",693.481237614927,"Heavy"
"4","2017-P","Dill's Atlantic","Germany",349.411539477183,"medium"
"5","2017-P","Autumn Gold","Italy",546.390921436454,"Heavy"
"6","2014-P","Autumn Gold","Germany",267.479963995408,"medium"
"7","2017-P","Champion","Germany",451.389958213756,"medium"
"8","2018-P","Autumn Gold","Italy",50.8835984979163,"Light"
"9","2017-P","Rouge Vif d’Etampes","Germany",308.36050604091,"medium"
"10","2015-P","Prizewinner","Germany",323.432491212141,"medium"
"11","2020-P","Prizewinner","Germany",555.538626595138,"Heavy"
"12","2013-P","Casper","Italy",108.739446769217,"medium"
"13","2016-P","Rouge Vif d’Etampes","Italy",186.709691451313,"medium"
"14","2019-P","Atlantic Giant","Germany",144.106473209127,"medium"
"15","2016-P","Cinderella","Italy",89.040588748356,"Light"
"16","2014-P","Casper","Italy",46.1038312081265,"Light"
"17","2021-P","Blue Hubbard","Germany",777.063431535978,"Heavy"
"18","2017-P","Jack O'Lantern","France",456.472861196453,"Heavy"
"19","2018-P","Autumn Gold","Germany",241.940902469356,"medium"
"20","2013-P","Howden","Italy",78.1723020306882,"Light"
"21","2017-P","Connecticut Field","Italy",288.927492004209,"medium"
"22","2018-P","Prizewinner","Germany",444.433079930836,"medium"
"23","2014-P","Cinderella","France",52.9088794029969,"Light"
"24","2016-P","Jack O'Lantern","Italy",203.947111101431,"medium"
"25","2015-P","Dill's Atlantic","Germany",194.84863912942,"medium"
"26","2021-P","Atlantic Giant","France",952.941828377546,"Heavy"
"27","2013-P","Big Max","Germany",407.466821240698,"medium"
"28","2020-P","Big Max","Germany",214.424354012898,"medium"
"29","2018-P","Jack O'Lantern","Germany",260.411453255784,"medium"
"30","2017-P","Wolf","Germany",340.341670097075,"medium"
"31","2017-P","Wolf","Germany",166.14484183917,"medium"
"32","2014-P","Big Moose","Germany",367.582941648078,"medium"
"33","2014-P","Blue Hubbard","Germany",670.083129760001,"Heavy"
"34","2015-P","Early Giant","Germany",569.029166129698,"Heavy"
"35","2014-P","Big Max","Germany",239.667569255542,"medium"
"36","2019-P","Connecticut Field","Germany",108.992045611799,"medium"
"37","2015-P","Dill's Atlantic","Germany",188.510430187172,"medium"
"38","2017-P","Connecticut Field","Germany",648.23510556583,"Heavy"
"39","2019-P","Dill's Atlantic","Italy",45.4341637004889,"Light"
"40","2014-P","Casper","Italy",333.139104939618,"medium"
"41","2018-P","Big Moose","Germany",558.501651059061,"Heavy"
"42","2021-P","Casper","Germany",183.763538188804,"medium"
"43","2019-P","Connecticut Field","Germany",292.272375103972,"medium"
"44","2019-P","Cinderella","Germany",273.717601704809,"medium"
"45","2017-P","Early Giant","Germany",114.382608944635,"medium"
"46","2020-P","Autumn Gold","Italy",147.488497849136,"medium"
"47","2013-P","Wolf","Germany",714.283902135061,"Heavy"
"48","2019-P","Big Max","Germany",184.713298042324,"medium"
"49","2019-P","Spirit","Italy",106.63011397707,"medium"
"50","2015-P","Dill's Atlantic","Italy",454.779487305786,"Heavy"
"51","2013-P","Cinderella","Italy",258.23467141022,"medium"
"52","2020-P","Big Moose","Italy",40.2887941940725,"Light"
"53","2020-P","Rouge Vif d’Etampes","Germany",75.1414614711443,"Light"
"54","2020-P","Connecticut Field","Germany",199.353355427446,"medium"
"55","2019-P","Casper","Germany",476.93603739553,"Heavy"
"56","2016-P","Dill's Atlantic","Germany",173.422830444746,"medium"
"57","2013-P","Atlantic Giant","Italy",97.5587516510061,"medium"
"58","2018-P","Early Giant","Italy",236.643289900914,"medium"
"59","2015-P","Champion","Germany",103.773301983781,"medium"
"60","2016-P","Spirit","Germany",305.537444324884,"medium"
"61","2019-P","Champion","Germany",495.647716646784,"Heavy"
"62","2021-P","Casper","Italy",555.747116461078,"Heavy"
"63","2017-P","Champion","Germany",133.382064047595,"medium"
"64","2019-P","Howden","Germany",577.302791369757,"Heavy"
"65","2017-P","Big Max","Germany",176.345757280928,"medium"
"66","2019-P","Big Moose","Italy",53.9224469667721,"Light"
"67","2021-P","Autumn Gold","Germany",225.175941270009,"medium"
"68","2021-P","Autumn Gold","Germany",112.167588819068,"medium"
"69","2016-P","Wolf","Germany",269.018649433902,"medium"
