Individual,Sex,Latitude,Location
VB21001,M,53.077355,FenBog
VB21002,M,53.202804,FenBog
VB21003,F,53.205791,FenBog
VB21004,M,53.2053134,FenBog
VB21005,M,53.204676,FenBog
VB21006,F,53.2049739,FenBog
VB21007,M,53.204744,Southwell
VB21008,F,53.207083,Southwell
VB21009,M,53.079773,Southwell
VB21010,M,53.0797765,Southwell
VB21011,M,53.0797765,Southwell
VB21012,M,53.0796929,Warsop
VB21013,M,53.0797765,Warsop
VB21014,M,53.2047158,Warsop
VB21015,F,53.2056643,Warsop
VB21016,M,53.2041867,Warsop
VB21017,M,53.2049261,Southwell
VB21018,M,53.2050592,Sherwood
VB21019,M,53.080017,Clifton
VB21020,F,52.9023157,Southwell
VB21021,M,53.079992,Warsop
VB21022,M,53.204259,Warsop
VB21023,M,53.2049707,Warsop
VB21024,M,53.2047967,Warsop
VB21025,F,53.2044921,ManorFarm
VB21026,M,52.9041705,Attenborough
VB21027,M,52.8978959,ManorFarm
VB21028,F,52.904341,Clifton
VB21029,M,52.910303,Warsop
VB21030,M,53.3191118,Blackmoor
VB21031,M,53.3191118,Blackmoor
VB21032,M,53.3191118,Blackmoor
VB21033,F,53.2525779,Buxton
VB21034,M,53.2743637,Buxton
VB21035,M,53.2743779,Buxton
VB21036,F,53.2744707,Buxton
VB21037,F,53.2744707,Buxton
VB20001,F,54.467403,Warsop
VB20002,F,54.467403,Warsop
VB20003,M,54.467403,Warsop
VB20004,M,54.467403,Warsop
VB20005,M,54.467403,Warsop
VB20006,M,54.467403,Southwell
